      Lon      Lat    Year Fag_syl   C3_gr   Total
     8.75    47.25    1901   0.541   0.004   0.545
     8.75    47.25    1902   0.519   0.003   0.522
     8.75    47.25    1903   0.502   0.002   0.504
     8.75    47.25    1904   0.510   0.001   0.511
     8.75    47.25    1905   0.491   0.001   0.492
     8.75    47.25    1906   0.514   0.000   0.514
     8.75    47.25    1907   0.499  -0.000   0.499
     8.75    47.25    1908   0.488   0.000   0.488
     8.75    47.25    1909   0.554   0.000   0.554
     8.75    47.25    1910   0.481   0.000   0.481
     8.75    47.25    1911   0.428   0.000   0.428
     8.75    47.25    1912   0.542   0.000   0.542
     8.75    47.25    1913   0.572   0.000   0.572
     8.75    47.25    1914   0.538   0.000   0.538
     8.75    47.25    1915   0.489   0.000   0.489
     8.75    47.25    1916   0.541   0.000   0.541
     8.75    47.25    1917   0.447   0.000   0.447
     8.75    47.25    1918   0.511   0.000   0.511
     8.75    47.25    1919   0.408   0.000   0.408
     8.75    47.25    1920   0.592   0.000   0.592
     8.75    47.25    1921   0.498   0.000   0.498
     8.75    47.25    1922   0.478   0.000   0.478
     8.75    47.25    1923   0.522   0.000   0.522
     8.75    47.25    1924   0.547   0.000   0.547
     8.75    47.25    1925   0.506   0.000   0.507
     8.75    47.25    1926   0.516   0.000   0.516
     8.75    47.25    1927   0.511   0.000   0.511
     8.75    47.25    1928   0.448   0.000   0.448
     8.75    47.25    1929   0.464   0.000   0.464
     8.75    47.25    1930   0.497   0.000   0.497
     8.75    47.25    1931   0.472   0.000   0.472
     8.75    47.25    1932   0.420   0.000   0.420
     8.75    47.25    1933   0.505   0.000   0.505
     8.75    47.25    1934   0.526   0.000   0.526
     8.75    47.25    1935   0.483  -0.000   0.483
     8.75    47.25    1936   0.458   0.000   0.458
     8.75    47.25    1937   0.491   0.010   0.501
     8.75    47.25    1938   0.481   0.006   0.487
     8.75    47.25    1939   0.479   0.006   0.485
     8.75    47.25    1940   0.499   0.004   0.504
     8.75    47.25    1941   0.409   0.003   0.412
     8.75    47.25    1942   0.531   0.000   0.531
     8.75    47.25    1943   0.511   0.000   0.511
     8.75    47.25    1944   0.498   0.000   0.498
     8.75    47.25    1945   0.539   0.000   0.539
     8.75    47.25    1946   0.530   0.000   0.530
     8.75    47.25    1947   0.332   0.000   0.332
     8.75    47.25    1948   0.591   0.000   0.592
     8.75    47.25    1949   0.444   0.000   0.444
     8.75    47.25    1950   0.495   0.000   0.495
     8.75    47.25    1951   0.426   0.000   0.426
     8.75    47.25    1952   0.481   0.000   0.481
     8.75    47.25    1953   0.472   0.000   0.472
     8.75    47.25    1954   0.426   0.000   0.426
     8.75    47.25    1955   0.440   0.011   0.451
     8.75    47.25    1956   0.436   0.013   0.449
     8.75    47.25    1957   0.475   0.014   0.489
     8.75    47.25    1958   0.406  -0.003   0.403
     8.75    47.25    1959   0.558   0.000   0.558
     8.75    47.25    1960   0.451   0.000   0.451
     8.75    47.25    1961   0.506   0.002   0.508
     8.75    47.25    1962   0.457   0.000   0.457
     8.75    47.25    1963   0.491   0.000   0.491
     8.75    47.25    1964   0.466   0.000   0.467
     8.75    47.25    1965   0.432   0.000   0.433
     8.75    47.25    1966   0.493   0.000   0.493
     8.75    47.25    1967   0.488   0.000   0.488
     8.75    47.25    1968   0.489   0.000   0.490
     8.75    47.25    1969   0.485   0.000   0.485
     8.75    47.25    1970   0.422   0.000   0.422
     8.75    47.25    1971   0.561   0.000   0.561
     8.75    47.25    1972   0.475   0.000   0.476
     8.75    47.25    1973   0.414   0.000   0.414
     8.75    47.25    1974   0.452   0.000   0.452
     8.75    47.25    1975   0.445   0.000   0.445
     8.75    47.25    1976   0.525   0.000   0.525
     8.75    47.25    1977   0.496   0.001   0.497
     8.75    47.25    1978   0.470   0.001   0.470
     8.75    47.25    1979   0.445   0.001   0.446
     8.75    47.25    1980   0.416   0.001   0.417
     8.75    47.25    1981   0.538   0.001   0.539
     8.75    47.25    1982   0.456   0.001   0.457
     8.75    47.25    1983   0.457   0.001   0.458
